version workload runs warmup blocks threads_per_block num_floats malloc_mean malloc_max free_mean free_max work_mean work_max
baseline sum_reduce 20 2 192 64 75 4.56138e+06 1.19872e+07 60025.5 7.30289e+06 13618.1 45654
baseline sum_reduce 20 2 192 64 75 4.63673e+06 5.09651e+06 73605.9 7.20095e+06 12235.1 48569
baseline sum_reduce 20 2 192 64 75 5.03892e+06 1.25801e+07 62156.8 7.33995e+06 13752.3 42365
baseline sum_reduce 20 2 192 64 75 4.96442e+06 5.38069e+06 61323.1 7.48578e+06 13443.8 44350
baseline sum_reduce 20 2 192 64 100 1.24289e+07 1.29476e+07 55288.9 1.01999e+07 21943.8 87976
baseline sum_reduce 20 2 192 64 100 1.37761e+07 1.42709e+07 60698.2 1.06341e+07 25341.7 90350
baseline sum_reduce 20 2 192 64 100 1.36641e+07 2.45442e+07 92516.2 1.065e+07 28034.8 83524
baseline sum_reduce 20 2 192 64 100 1.29292e+07 2.3473e+07 34460.3 205402 25414.6 92055
baseline sum_reduce 20 2 192 64 100 1.26157e+07 1.30681e+07 59034.1 9.92894e+06 25898.9 79802
baseline sum_reduce 20 2 192 64 100 1.37262e+07 1.42902e+07 120670 1.08023e+07 27456.3 78278
baseline sum_reduce 20 2 192 64 100 1.33018e+07 1.38566e+07 112880 1.03905e+07 25668.2 98919
baseline sum_reduce 20 2 192 64 100 1.22409e+07 1.27436e+07 107194 1.02693e+07 22056.8 57314
baseline sum_reduce 20 2 192 64 100 1.36355e+07 2.45209e+07 88159.1 1.07153e+07 22815.4 79792
baseline sum_reduce 20 2 192 64 100 1.37027e+07 1.42017e+07 63364 1.06257e+07 26991.7 107393
baseline sum_reduce 20 2 192 64 100 1.29035e+07 1.34063e+07 80346.9 1.03103e+07 20731.5 64540
baseline sum_reduce 20 2 192 64 100 1.32036e+07 1.36812e+07 63324.2 1.02e+07 26927.8 75886
baseline sum_reduce 20 2 192 64 100 1.35218e+07 1.40671e+07 168324 1.07839e+07 25061.4 92357
baseline sum_reduce 20 2 192 64 100 1.29897e+07 2.29454e+07 181856 1.02996e+07 23208.8 66991
baseline sum_reduce 20 2 192 64 100 1.28258e+07 1.33418e+07 137476 1.04666e+07 25057.8 82024
baseline sum_reduce 20 2 192 64 100 1.26907e+07 2.31679e+07 59247.2 1.0128e+07 23899.7 89403
baseline sum_reduce 20 2 192 64 100 1.27814e+07 2.31793e+07 82406 1.03384e+07 21158.9 60944
baseline sum_reduce 20 2 192 64 100 1.24925e+07 1.30053e+07 55410.3 1.02903e+07 21009.2 61826
baseline sum_reduce 20 2 192 64 100 1.35085e+07 1.41673e+07 92260.9 1.07771e+07 26179.6 81985
baseline sum_reduce 20 2 192 64 100 1.37248e+07 1.42675e+07 140733 1.05522e+07 26346.7 96106
baseline sum_reduce 20 2 192 64 125 2.49599e+07 2.5569e+07 171959 1.35526e+07 39504 114530
baseline sum_reduce 20 2 192 64 125 2.48019e+07 3.81461e+07 70378.3 1.30783e+07 36990.6 114634
baseline sum_reduce 20 2 192 64 125 2.72011e+07 4.17187e+07 39393.9 184117 41814.4 113038
baseline sum_reduce 20 2 192 64 125 2.72619e+07 4.17861e+07 81275.5 1.38904e+07 48302.6 123784
baseline sum_reduce 20 2 192 64 125 2.66814e+07 4.10198e+07 114215 1.38343e+07 42479.2 115668
baseline sum_reduce 20 2 192 64 125 2.76387e+07 4.16022e+07 78149.6 1.35922e+07 43928.8 131482
baseline sum_reduce 20 2 192 64 125 2.67531e+07 4.08032e+07 76586 1.35477e+07 44744.3 136792
baseline sum_reduce 20 2 192 64 125 2.71205e+07 2.78001e+07 112247 1.35066e+07 49524.8 147556
baseline sum_reduce 20 2 192 64 125 2.6721e+07 4.06549e+07 76669.3 1.35979e+07 43191.1 162065
baseline sum_reduce 20 2 192 64 125 2.74524e+07 4.14515e+07 76927.4 1.36584e+07 42719.2 155608
baseline sum_reduce 20 2 192 64 125 2.49623e+07 2.5702e+07 170749 1.3401e+07 39213.7 132524
baseline sum_reduce 20 2 192 64 125 2.65962e+07 4.09465e+07 39551.4 176084 41602.1 121068
baseline sum_reduce 20 2 192 64 125 2.64714e+07 2.70782e+07 173272 1.36491e+07 38333.3 116546
baseline sum_reduce 20 2 192 64 125 2.56724e+07 2.63336e+07 110325 1.36524e+07 42449.2 111390
baseline sum_reduce 20 2 192 64 125 2.54842e+07 2.61439e+07 140332 1.33321e+07 41317.1 141058
baseline sum_reduce 20 2 192 64 125 2.68384e+07 2.74973e+07 218119 1.39769e+07 47751 140295
baseline sum_reduce 20 2 192 64 125 2.77046e+07 4.2318e+07 46102.3 183997 50002.2 157493
baseline sum_reduce 20 2 192 64 125 2.63423e+07 4.0163e+07 39164.3 184100 40493.8 125414
baseline sum_reduce 20 2 192 64 125 2.67457e+07 2.74031e+07 112832 1.37758e+07 44526.8 166620
baseline sum_reduce 20 2 192 64 125 2.68982e+07 2.75256e+07 111631 1.34612e+07 46126.7 143130
baseline sum_reduce 20 2 192 64 150 2.69147e+07 2.77115e+07 191154 1.40555e+07 61880.7 188822
baseline sum_reduce 20 2 192 64 150 2.73137e+07 2.79425e+07 112783 1.31884e+07 58594 141783
baseline sum_reduce 20 2 192 64 150 2.56157e+07 3.92444e+07 77656.1 1.3099e+07 55689.1 153168
baseline sum_reduce 20 2 192 64 150 2.68474e+07 2.7651e+07 151825 1.37484e+07 59771 167610
baseline sum_reduce 20 2 192 64 150 2.55225e+07 3.9238e+07 113562 1.34195e+07 57221.6 164676
baseline sum_reduce 20 2 192 64 150 2.56607e+07 2.63791e+07 244371 1.358e+07 57399.8 193034
baseline sum_reduce 20 2 192 64 150 2.49432e+07 2.56486e+07 111794 1.31007e+07 57587.4 192034
baseline sum_reduce 20 2 192 64 150 2.74704e+07 2.8233e+07 118252 1.36581e+07 61668.7 182012
baseline sum_reduce 20 2 192 64 150 2.74385e+07 4.18935e+07 44858.6 185067 58484.1 164508
baseline sum_reduce 20 2 192 64 150 2.77996e+07 2.85179e+07 155965 1.41913e+07 61131.7 167822
baseline sum_reduce 20 2 192 64 150 2.72564e+07 4.17715e+07 82310.8 1.38949e+07 60483 181072
baseline sum_reduce 20 2 192 64 150 2.67288e+07 4.06867e+07 46542.8 191743 58155.3 149939
baseline sum_reduce 20 2 192 64 150 2.61246e+07 2.69438e+07 80857.4 1.32505e+07 63420.4 186406
baseline sum_reduce 20 2 192 64 150 2.65002e+07 4.06292e+07 118461 1.35882e+07 59997.8 202776
baseline sum_reduce 20 2 192 64 150 2.47737e+07 2.55926e+07 178606 1.35356e+07 55709.2 188973
baseline sum_reduce 20 2 192 64 150 2.58453e+07 2.66582e+07 178525 1.35392e+07 52812.5 204888
baseline sum_reduce 20 2 192 64 150 2.68463e+07 2.7581e+07 84844.8 1.37709e+07 63605.1 196378
baseline sum_reduce 20 2 192 64 150 2.60683e+07 3.9931e+07 44079.7 164737 55653.7 150728
baseline sum_reduce 20 2 192 64 150 2.70283e+07 2.78097e+07 114612 1.33614e+07 61596.7 152108
baseline sum_reduce 20 2 192 64 150 2.67357e+07 2.74922e+07 151764 1.38202e+07 61483.9 147984
baseline sum_reduce 20 2 192 64 175 7.24422e+07 7.34719e+07 168866 2.09471e+07 107707 300378
baseline sum_reduce 20 2 192 64 175 7.22475e+07 9.36784e+07 171512 2.07769e+07 108366 257182
baseline sum_reduce 20 2 192 64 175 7.09182e+07 9.21089e+07 107619 2.02278e+07 93545.7 285845
baseline sum_reduce 20 2 192 64 175 6.88592e+07 9.00556e+07 53441.4 279626 89891.3 259802
baseline sum_reduce 20 2 192 64 175 7.0055e+07 9.08258e+07 57966.1 210808 101270 277604
baseline sum_reduce 20 2 192 64 175 7.34771e+07 9.52906e+07 115615 2.09505e+07 102603 279650
baseline sum_reduce 20 2 192 64 175 7.28771e+07 9.46332e+07 63446.9 228087 112050 298172
baseline sum_reduce 20 2 192 64 175 7.57777e+07 9.70391e+07 63312.5 256035 111863 307474
baseline sum_reduce 20 2 192 64 175 7.3217e+07 9.39042e+07 164384 2.01673e+07 100386 252774
