version workload runs warmup blocks threads_per_block num_floats malloc_mean malloc_max free_mean free_max work_mean work_max
baseline sum_reduce 20 2 192 64 8 873897 5.49391e+06 26321.5 138873 1498.4 3338
baseline sum_reduce 20 2 192 64 8 882551 5.5635e+06 24682.6 96089 1502.65 10403
baseline sum_reduce 20 2 192 64 8 886441 5.49005e+06 24292.5 131869 1494.27 11025
baseline sum_reduce 20 2 192 64 8 885021 5.50123e+06 24536.8 126139 1425.03 3349
baseline sum_reduce 20 2 192 64 8 892377 5.4921e+06 25414.5 133234 1491.11 4028
baseline sum_reduce 20 2 192 64 8 887651 5.65691e+06 24334.9 110315 1465.48 8086
baseline sum_reduce 20 2 192 64 8 867012 1.37784e+06 35492.8 4.18119e+06 1464.06 6458
baseline sum_reduce 20 2 192 64 8 880388 1.46769e+06 46049.9 4.24584e+06 1475.11 6087
baseline sum_reduce 20 2 192 64 8 876433 1.3903e+06 35655.3 4.12716e+06 1431.84 3448
baseline sum_reduce 20 2 192 64 8 878870 1.38962e+06 34503.7 4.20908e+06 1443.32 3702
baseline sum_reduce 20 2 192 64 8 857605 5.56953e+06 24920.3 111187 1491.73 8479
baseline sum_reduce 20 2 192 64 8 864607 1.36672e+06 35324.4 4.16942e+06 1606.7 36830
baseline sum_reduce 20 2 192 64 8 864107 1.36594e+06 46135.6 4.33597e+06 1479.43 7686
baseline sum_reduce 20 2 192 64 8 866228 1.32137e+06 35723.8 4.20278e+06 1468.32 5324
baseline sum_reduce 20 2 192 64 8 884349 1.54798e+06 46448.4 4.1608e+06 1478.48 4796
baseline sum_reduce 20 2 192 64 8 881483 1.36458e+06 35017.1 4.24672e+06 1456.89 2714
baseline sum_reduce 20 2 192 64 8 872613 5.68791e+06 25293.4 117693 1541.47 20241
baseline sum_reduce 20 2 192 64 8 877387 1.44771e+06 35699.7 4.25718e+06 1505.42 8336
baseline sum_reduce 20 2 192 64 16 878461 1.41049e+06 35854.8 4.29941e+06 2216.82 3981
baseline sum_reduce 20 2 192 64 16 868426 1.35759e+06 36449.5 4.24999e+06 2243.81 9926
baseline sum_reduce 20 2 192 64 16 872589 1.33065e+06 35683.8 4.18505e+06 2322.81 27463
baseline sum_reduce 20 2 192 64 16 893497 5.59687e+06 25452.9 143673 2274.95 4355
baseline sum_reduce 20 2 192 64 16 904589 5.40378e+06 46242.5 4.07844e+06 2300.08 16645
baseline sum_reduce 20 2 192 64 16 874247 1.38573e+06 36959.9 4.25457e+06 2273.99 6510
baseline sum_reduce 20 2 192 64 16 887925 1.52684e+06 36300 4.22424e+06 2254.8 14608
baseline sum_reduce 20 2 192 64 16 878412 1.41251e+06 47546.6 4.2955e+06 2219.24 7590
baseline sum_reduce 20 2 192 64 16 875820 5.4484e+06 35946.1 4.09776e+06 2263.06 5763
baseline sum_reduce 20 2 192 64 16 866266 1.32952e+06 36033.4 4.25589e+06 2228.99 4560
baseline sum_reduce 20 2 192 64 16 869833 5.54537e+06 25780.9 112453 2258.72 5548
baseline sum_reduce 20 2 192 64 16 889623 1.3831e+06 35998.6 4.27379e+06 2288.75 17669
baseline sum_reduce 20 2 192 64 16 879119 1.41567e+06 36057.1 4.12905e+06 2178.49 4575
baseline sum_reduce 20 2 192 64 16 877946 1.54244e+06 36028.7 4.29206e+06 2238.74 4005
baseline sum_reduce 20 2 192 64 16 904632 5.67406e+06 24545.9 132628 2167.07 3950
baseline sum_reduce 20 2 192 64 16 919644 5.80317e+06 24610.5 91060 2246.71 5288
baseline sum_reduce 20 2 192 64 16 865888 1.32021e+06 35562.9 4.13161e+06 2166.96 4594
baseline sum_reduce 20 2 192 64 16 892411 5.49404e+06 26277.3 130767 2246.76 14917
baseline sum_reduce 20 2 192 64 16 893546 1.36177e+06 47018.8 4.21823e+06 2259.47 5404
baseline sum_reduce 20 2 192 64 16 888930 1.40606e+06 36313.4 4.17809e+06 2278.93 4209
baseline sum_reduce 20 2 192 64 32 1.74642e+06 2.82473e+06 29062.1 4.82652e+06 3409.84 9037
baseline sum_reduce 20 2 192 64 32 2.25942e+06 3.47409e+06 32664.6 5.20982e+06 3972.77 11824
baseline sum_reduce 20 2 192 64 32 1.60587e+06 2.37861e+06 41101.6 4.81552e+06 3373.21 7948
baseline sum_reduce 20 2 192 64 32 2.26397e+06 3.80468e+06 31438 5.07361e+06 3591.41 7835
baseline sum_reduce 20 2 192 64 32 1.48e+06 7.11805e+06 29670.3 4.49303e+06 3558.27 11193
baseline sum_reduce 20 2 192 64 32 2.02578e+06 3.81259e+06 30680.2 5.01863e+06 3660.93 9414
