version workload runs warmup blocks threads_per_block num_floats malloc_mean malloc_max free_mean free_max work_mean work_max
baseline sum_reduce 20 2 192 64 1 825777 1.30572e+06 34295.2 4.03385e+06 788.583 2282
baseline sum_reduce 20 2 192 64 1 874798 1.4116e+06 44893.1 4.21878e+06 817.148 7917
baseline sum_reduce 20 2 192 64 1 853893 1.38911e+06 33753.6 4.0932e+06 802.318 3989
baseline sum_reduce 20 2 192 64 1 837508 1.28147e+06 33491.7 4.06284e+06 808.029 3688
baseline sum_reduce 20 2 192 64 1 844538 5.34375e+06 34024.4 4.15034e+06 807.359 4025
baseline sum_reduce 20 2 192 64 1 841116 1.51559e+06 34280.3 4.16004e+06 801.479 2369
baseline sum_reduce 20 2 192 64 1 823406 1.28857e+06 34361.4 4.13973e+06 810.719 4928
baseline sum_reduce 20 2 192 64 1 842578 1.24489e+06 33965.8 4.02014e+06 801.896 2996
baseline sum_reduce 20 2 192 64 1 839156 5.41712e+06 45201.1 4.13137e+06 810.792 5336
baseline sum_reduce 20 2 192 64 1 840032 1.32737e+06 44422.2 4.0401e+06 839.516 5794
baseline sum_reduce 20 2 192 64 1 840460 1.32482e+06 33413.9 4.06384e+06 813.617 3752
baseline sum_reduce 20 2 192 64 1 847818 1.37512e+06 33583 4.19595e+06 801.281 3682
baseline sum_reduce 20 2 192 64 1 827393 1.37588e+06 33471.3 4.04046e+06 803.302 4646
baseline sum_reduce 20 2 192 64 1 839125 1.33324e+06 34184.8 4.05653e+06 807.37 2663
baseline sum_reduce 20 2 192 64 1 839332 1.29948e+06 55619.9 4.16523e+06 827.867 6203
baseline sum_reduce 20 2 192 64 1 851105 5.41876e+06 23361 108015 803.865 3186
baseline sum_reduce 20 2 192 64 1 843911 1.31233e+06 33934.2 4.09913e+06 793.797 3876
baseline sum_reduce 20 2 192 64 1 856761 5.37869e+06 23254.8 128303 795.284 4552
baseline sum_reduce 20 2 192 64 1 865086 5.56819e+06 24602.7 170221 976.99 40718
baseline sum_reduce 20 2 192 64 1 835461 1.37413e+06 34678.7 4.18203e+06 993.716 42116
baseline sum_reduce 20 2 192 64 2 852584 1.32336e+06 44935.8 4.21457e+06 1187.12 3092
baseline sum_reduce 20 2 192 64 2 860789 1.34381e+06 35187.4 4.2525e+06 1222.14 6785
baseline sum_reduce 20 2 192 64 2 851976 5.57817e+06 23274.5 101187 1201.19 2977
baseline sum_reduce 20 2 192 64 2 880998 1.44051e+06 34374.3 4.22714e+06 1241.22 8157
baseline sum_reduce 20 2 192 64 2 837153 1.2928e+06 45953 4.30958e+06 1258.46 14586
baseline sum_reduce 20 2 192 64 2 852461 5.40117e+06 23130.2 86359 1212.85 8263
baseline sum_reduce 20 2 192 64 2 855978 5.31082e+06 44690.4 3.98061e+06 1274.62 21382
baseline sum_reduce 20 2 192 64 2 846711 1.37014e+06 35067.4 4.20213e+06 1209.35 6342
baseline sum_reduce 20 2 192 64 2 870354 5.49002e+06 23817 94734 1264.27 17741
baseline sum_reduce 20 2 192 64 2 855976 1.3143e+06 34213.1 4.23068e+06 1261.8 15148
baseline sum_reduce 20 2 192 64 2 839088 5.45278e+06 23869.5 108123 1238.81 4795
baseline sum_reduce 20 2 192 64 2 848089 1.30142e+06 34561.7 4.16968e+06 1227.44 11029
baseline sum_reduce 20 2 192 64 2 845475 1.27669e+06 34594.2 4.14145e+06 1248.78 15044
baseline sum_reduce 20 2 192 64 2 869184 5.62632e+06 24562.6 140212 1205.74 3627
baseline sum_reduce 20 2 192 64 2 846008 1.27273e+06 35437.2 4.25708e+06 1252.4 7768
baseline sum_reduce 20 2 192 64 2 860733 5.70738e+06 35491.3 4.26117e+06 1266.82 8034
baseline sum_reduce 20 2 192 64 2 849636 1.33596e+06 34102.4 4.03991e+06 1251.8 4717
baseline sum_reduce 20 2 192 64 2 861863 1.31128e+06 34950 4.27985e+06 1253.84 8047
baseline sum_reduce 20 2 192 64 2 853952 1.38346e+06 34709.2 4.18589e+06 1247.47 3943
baseline sum_reduce 20 2 192 64 2 858797 1.37749e+06 35930.7 4.20684e+06 1253.98 5562
baseline sum_reduce 20 2 192 64 3 862126 5.53342e+06 24000.4 101928 1586.83 5156
baseline sum_reduce 20 2 192 64 3 868206 1.5496e+06 33981.6 4.08089e+06 1582.15 5818
baseline sum_reduce 20 2 192 64 3 880934 5.54394e+06 24094.3 136415 1578.2 6269
baseline sum_reduce 20 2 192 64 3 881920 5.57121e+06 24231.5 146496 1643.9 12856
baseline sum_reduce 20 2 192 64 3 874285 5.68973e+06 35980.5 4.26209e+06 1624.06 11096
