version workload runs warmup blocks threads_per_block num_floats malloc_mean malloc_max free_mean free_max work_mean work_max
baseline sum_reduce 10 2 192 64 1 829168 1.2713e+06 34920.1 4.16975e+06 798.133 2921
baseline sum_reduce 10 2 192 64 1 849854 5.61018e+06 23193.2 87182 794.495 1989
baseline sum_reduce 10 2 192 64 1 846468 1.33812e+06 34178.4 4.12861e+06 821.565 6807
baseline sum_reduce 10 2 192 64 1 822278 5.33864e+06 34346.5 4.17477e+06 801.766 2951
baseline sum_reduce 10 2 192 64 1 855728 1.45964e+06 44766.3 4.0778e+06 820.583 6420
baseline sum_reduce 10 2 192 64 1 831223 5.42355e+06 23862.7 179481 830.026 8282
baseline sum_reduce 10 2 192 64 1 822267 1.25996e+06 33454.1 4.1155e+06 797.786 3494
baseline sum_reduce 10 2 192 64 1 833858 1.31498e+06 44511.3 4.17617e+06 810.776 6233
baseline sum_reduce 10 2 192 64 1 830052 1.25377e+06 34683.7 4.20957e+06 840.852 5567
baseline sum_reduce 10 2 192 64 1 850545 1.43046e+06 34987.4 4.11828e+06 839.948 14795
baseline sum_reduce 10 2 192 64 2 848680 1.3356e+06 34896 4.17064e+06 1166.42 5196
baseline sum_reduce 10 2 192 64 2 857386 1.39424e+06 34642.7 4.13833e+06 1252.78 19707
baseline sum_reduce 10 2 192 64 2 856649 1.37134e+06 33871 4.07726e+06 1241.93 15888
baseline sum_reduce 10 2 192 64 2 879439 5.58492e+06 33524.8 3.9085e+06 1166.73 6110
baseline sum_reduce 10 2 192 64 2 854100 1.35173e+06 34386.6 4.12445e+06 1192.87 11702
baseline sum_reduce 10 2 192 64 2 846903 1.50461e+06 34035.7 4.11341e+06 1176.02 8570
baseline sum_reduce 10 2 192 64 2 841712 5.34076e+06 35194.1 4.15514e+06 1171.28 2560
baseline sum_reduce 10 2 192 64 2 828558 1.27743e+06 34919.1 4.15709e+06 1233.63 13688
baseline sum_reduce 10 2 192 64 2 860093 5.39881e+06 34105.6 4.09192e+06 1228.35 10689
baseline sum_reduce 10 2 192 64 2 841054 1.34725e+06 44842.3 4.19094e+06 1180.82 4025
baseline sum_reduce 10 2 192 64 3 879056 5.59718e+06 34784.3 4.23484e+06 1606.17 10213
baseline sum_reduce 10 2 192 64 3 859725 1.49321e+06 35030 4.15219e+06 1581.77 5549
baseline sum_reduce 10 2 192 64 3 881646 5.62357e+06 24988.4 177969 1606.42 5085
baseline sum_reduce 10 2 192 64 3 865043 1.42274e+06 46903.5 4.26057e+06 1667.27 24202
baseline sum_reduce 10 2 192 64 3 863920 1.47476e+06 35271.3 4.21485e+06 1592.84 6672
