version workload runs warmup blocks threads_per_block num_floats malloc_mean malloc_max free_mean free_max work_mean work_max
baseline sum_reduce 20 2 192 64 4 877244 5.47286e+06 24287.5 138076 1217.72 3596
baseline sum_reduce 20 2 192 64 4 895043 5.50286e+06 34861.1 4.25158e+06 1232.92 6697
baseline sum_reduce 20 2 192 64 4 853336 1.46836e+06 35020.3 4.1123e+06 1268.41 8280
baseline sum_reduce 20 2 192 64 4 862181 5.59846e+06 24443.8 109871 1212.48 3136
baseline sum_reduce 20 2 192 64 4 837688 1.35418e+06 35805.2 4.14606e+06 1247.87 5718
baseline sum_reduce 20 2 192 64 4 877362 5.58637e+06 23497.1 98321 1250.85 6744
baseline sum_reduce 20 2 192 64 4 867270 1.36469e+06 34646.1 4.20525e+06 1207.87 3103
baseline sum_reduce 20 2 192 64 4 889608 5.6386e+06 25119 139210 1265.28 13148
baseline sum_reduce 20 2 192 64 4 848285 1.32511e+06 34823.2 4.15686e+06 1243.89 10173
baseline sum_reduce 20 2 192 64 4 880223 5.51826e+06 24205.6 109609 1252.63 9279
baseline sum_reduce 20 2 192 64 4 868719 5.49914e+06 24003.6 110106 1200.34 3883
baseline sum_reduce 20 2 192 64 4 838046 1.43053e+06 35671.5 4.13671e+06 1255.4 14646
baseline sum_reduce 20 2 192 64 4 858464 5.47299e+06 23602.8 87425 1212.54 3643
baseline sum_reduce 20 2 192 64 4 865683 5.55574e+06 23997.2 132539 1220.9 7467
baseline sum_reduce 20 2 192 64 4 866783 5.60776e+06 23431.7 91999 1207.7 4132
baseline sum_reduce 20 2 192 64 4 868949 1.34665e+06 35427.7 4.12887e+06 1248.65 12156
baseline sum_reduce 20 2 192 64 4 879317 5.72186e+06 35980.9 4.35147e+06 1232.1 5206
baseline sum_reduce 20 2 192 64 4 863035 1.38566e+06 46137.1 4.30551e+06 1206.92 2716
baseline sum_reduce 20 2 192 64 5 868922 1.33237e+06 35268.7 4.26295e+06 1765.57 8291
baseline sum_reduce 20 2 192 64 5 887646 5.5903e+06 24626.7 122478 1747.97 3406
baseline sum_reduce 20 2 192 64 5 871286 5.48964e+06 25626.8 174596 1770.82 5983
baseline sum_reduce 20 2 192 64 5 890055 5.59812e+06 24851.6 118762 1786.05 12555
baseline sum_reduce 20 2 192 64 5 879021 1.40865e+06 35567.3 4.1548e+06 1748.66 7254
baseline sum_reduce 20 2 192 64 5 862768 1.31659e+06 34698.3 4.03885e+06 1795.23 8944
baseline sum_reduce 20 2 192 64 5 865295 5.68694e+06 24594.1 100926 1809.33 12195
baseline sum_reduce 20 2 192 64 5 875737 1.4141e+06 35465.4 4.26613e+06 1755.32 5983
baseline sum_reduce 20 2 192 64 5 863115 1.35864e+06 34415.5 4.1818e+06 1769.31 10177
baseline sum_reduce 20 2 192 64 5 850031 5.50878e+06 24672 99464 1723.64 6348
baseline sum_reduce 20 2 192 64 5 843367 1.32028e+06 35932.8 4.22912e+06 1802.27 12386
baseline sum_reduce 20 2 192 64 5 864743 1.3873e+06 35213.1 4.26642e+06 1770.38 6797
baseline sum_reduce 20 2 192 64 5 915219 5.57628e+06 23959 114947 1759.82 5481
baseline sum_reduce 20 2 192 64 5 857149 1.34169e+06 46041.2 4.34521e+06 1760.73 3698
baseline sum_reduce 20 2 192 64 5 855879 1.3206e+06 47241.1 4.35376e+06 1773.17 4128
baseline sum_reduce 20 2 192 64 5 866406 1.32735e+06 34537.1 4.12352e+06 1771.52 7120
baseline sum_reduce 20 2 192 64 5 850331 1.38996e+06 35956.2 4.27215e+06 1770.59 5361
baseline sum_reduce 20 2 192 64 5 890743 5.7977e+06 23722.2 136731 1748.18 5271
baseline sum_reduce 20 2 192 64 5 865563 1.4277e+06 35221.3 4.27924e+06 1768.41 4349
baseline sum_reduce 20 2 192 64 5 869735 5.47957e+06 25479.4 161734 1808.61 4961
baseline sum_reduce 20 2 192 64 6 872328 1.33405e+06 46778.2 4.26271e+06 2102.06 5195
baseline sum_reduce 20 2 192 64 6 871545 5.49856e+06 23999.1 112227 2122.94 18669
baseline sum_reduce 20 2 192 64 6 854695 5.5366e+06 35812.8 4.30505e+06 2146.44 5767
baseline sum_reduce 20 2 192 64 6 864782 1.29818e+06 34379.4 4.06726e+06 2153.45 5931
baseline sum_reduce 20 2 192 64 6 854030 1.32607e+06 45298.6 4.25512e+06 2181.5 31477
baseline sum_reduce 20 2 192 64 6 860065 1.30752e+06 45381.4 4.09662e+06 2143.22 18323
baseline sum_reduce 20 2 192 64 6 879115 1.35313e+06 35337.5 4.23855e+06 2136.6 12761
baseline sum_reduce 20 2 192 64 6 861289 1.35002e+06 35026.1 4.26498e+06 2157.02 6050
baseline sum_reduce 20 2 192 64 6 881552 5.43983e+06 24080.9 115810 2157.7 16525
baseline sum_reduce 20 2 192 64 6 876662 5.53675e+06 25075.1 122917 2148.39 6022
baseline sum_reduce 20 2 192 64 6 880143 5.54632e+06 34646.7 4.15226e+06 2132.12 8014
baseline sum_reduce 20 2 192 64 6 867173 5.56504e+06 25192.5 148350 2209.7 14974
baseline sum_reduce 20 2 192 64 6 864320 5.44026e+06 25058.9 148106 2166.32 10836
baseline sum_reduce 20 2 192 64 6 887227 5.54555e+06 24666.5 100177 2168.68 15077
baseline sum_reduce 20 2 192 64 6 861600 1.36304e+06 35623.7 4.34532e+06 2125.08 8545
baseline sum_reduce 20 2 192 64 6 892356 5.55049e+06 24842.8 92209 2124.03 9479
baseline sum_reduce 20 2 192 64 6 851760 1.28774e+06 45674.8 4.22877e+06 2140.26 9983
baseline sum_reduce 20 2 192 64 6 866638 1.37412e+06 46019.5 4.22802e+06 2205.97 24781
